2024-03-30T18:30:29 | june-exec | server-02-main | 192.168.1.188 | wmic memorychip get capacity | executed | success |
2024-03-29T09:34:05 | dean-admin | server-02-main | 192.168.1.104 | wmic printer get Name, PortName | executed | success |
2024-03-29T09:28:59 | dean-admin | server-02-main | 192.168.1.168 | wmic timezone get DaylightName | executed | success |
2024-03-29T09:23:48 | dean-admin | server-01-main | 192.168.1.167 | wmic cpu get NumberOfCores, NumberOfLogicalProcessors | executed | success |
2024-03-29T09:02:34 | bill-exec | server-02-main | 192.168.1.151 | wmic service get description | executed | success |
2024-03-29T08:55:02 | dean-admin | server-02-main | 192.168.1.110 | wmic logicaldisk get Description, FreeSpace | executed | success |
2024-03-29T08:50:15 | sophie-engineering | engineering-02-main | 192.168.1.119 | wmic service where caption="Windows Firewall" call changestartmode "automatic" | executed | success |
2024-03-29T08:30:22 | bill-exec | server-02-main | 192.168.1.113 | wmic bios get serialnumber | executed | success |
2024-03-29T08:30:15 | june-exec | server-01-main | 192.168.1.157 | wmic printer get name | executed | success |
2024-03-29T08:29:00 | dean-admin | server-02-main | 192.168.1.159 | wmic process where (CommandLine like "%cmd.exe%") get ProcessId | executed | success |
2024-03-29T08:19:56 | claire-exec | server-02-main | 192.168.1.187 | wmic path get type | executed | success |
2024-03-29T08:15:44 | dean-admin | server-02-main | 192.168.1.189 | wmic diskdrive get Model, Size | executed | success |
2024-03-29T08:15:27 | bill-exec | server-01-main | 192.168.1.144 | wmic startup get command | executed | success |
2024-03-29T08:02:14 | bill-exec | server-02-main | 192.168.1.190 | wmic sounddev get deviceid | executed | success |
2024-03-29T08:00:29 | sophie-engineering | engineering-01-main | 192.168.1.164 | wmic sysdriver get name,displayname | executed | success |
2024-03-29T07:56:38 | bill-exec | server-02-main | 192.168.1.149 | wmic logicaldisk get description | executed | success |
2024-03-29T07:40:19 | bill-exec | server-01-main | 192.168.1.173 | wmic timezone get pip | executed | success |
2024-03-29T07:32:49 | bill-exec | server-02-main | 192.168.1.140 | wmic useraccount get domain | executed | success |
2024-03-29T07:22:35 | bill-exec | server-02-main | 192.168.1.170 | wmic share get path | executed | success |
2024-03-29T07:21:21 | bill-exec | server-01-main | 192.168.1.181 | wmic startupcommand get command | executed | success |
2024-03-29T07:15:29 | june-exec | server-02-main | 192.168.1.148 | wmic startup get command | executed | success |
2024-03-29T07:10:37 | sophie-engineering | engineering-02-main | 192.168.1.109 | wmic startupcommand get command | executed | success |
2024-03-29T07:04:50 | claire-exec | server-01-main | 192.168.1.153 | wmic service get caption | executed | success |
2024-03-29T06:20:41 | sophie-engineering | engineering-01-main | 192.168.1.145 | wmic systemenclosure get serialnumber | executed | success |
2024-03-29T06:00:42 | june-exec | server-01-main | 192.168.1.199 | wmic logicaldisk get caption | executed | success |
2024-03-29T05:30:25 | sophie-engineering | engineering-02-main | 192.168.1.196 | wmic timezone get caption | executed | success |
2024-03-29T04:45:55 | june-exec | server-02-main | 192.168.1.121 | wmic volume get label | executed | success |
2024-03-29T04:40:17 | sophie-engineering | engineering-01-main | 192.168.1.152 | wmic service where state="running" get name,displayname | executed | success |
2024-03-29T03:51:08 | sophie-engineering | engineering-02-main | 192.168.1.181 | wmic product where "vendor like '%Microsoft%'" get name,version | executed | success |
2024-03-29T03:31:08 | june-exec | server-02-main | 192.168.1.150 | wmic netlogin get fullname | executed | success |
2024-03-29T03:01:29 | sophie-engineering | engineering-01-main | 192.168.1.124 | wmic printer where name="Microsoft Print to PDF" delete | executed | success |
2024-03-29T02:16:22 | june-exec | server-01-main | 192.168.1.165 | wmic csproduct get vendor | executed | success |
2024-03-29T02:12:35 | sophie-engineering | engineering-02-main | 192.168.1.134 | wmic process call create "notepad.exe" | executed | success |
2024-03-29T01:23:49 | sophie-engineering | engineering-01-main | 192.168.1.106 | wmic bios get version | executed | success |
2024-03-29T01:01:36 | june-exec | server-01-main | 192.168.1.187 | wmic idecontroller get name | executed | success |
2024-03-29T00:35:18 | sophie-engineering | engineering-02-main | 192.168.1.162 | wmic memorychip get capacity | executed | success |
2024-03-28T23:47:10 | sophie-engineering | engineering-01-main | 192.168.1.128 | wmic cpu get name | executed | success |
2024-03-28T23:46:49 | june-exec | server-02-main | 192.168.1.113 | wmic service where state="running" get name | executed | success |
2024-03-28T23:00:23 | sophie-engineering | engineering-02-main | 192.168.1.183 | wmic diskdrive get model | executed | success |
2024-03-28T22:32:03 | june-exec | server-02-main | 192.168.1.176 | wmic startupcommand get command | executed | success |
2024-03-28T22:12:52 | sophie-engineering | engineering-01-main | 192.168.1.171 | wmic os get caption | executed | success |
2024-03-28T21:24:37 | sophie-engineering | engineering-02-main | 192.168.1.120 | wmic logicaldisk get size | executed | success |
2024-03-28T20:56:23 | dean-admin | server-01-main | 192.168.1.181 | wmic qfe get HotFixID,InstalledOn | executed | success |
2024-03-28T20:53:15 | dean-admin | server-01-main | 192.168.1.138 | wmic process where name="svchst.exe" get caption, processId, commandLine, executablePath, sessionID | executed | success |
2024-03-28T20:49:15 | dean-admin | server-01-main | 192.168.1.138 | wmic process list full | executed | success |
2024-03-28T20:46:27 | dean-admin | server-01-main | 192.168.1.150 | wmic findstr /c:"TotalPhysicalMemory" /c:"Caption" /c:"BootDevice" | executed | success |
2024-03-28T20:45:10 | dean-admin | server-01-main | 192.168.1.149 | wmic NIC where NetConnectionStatus=2 get Name,Speed | executed | success |
2024-03-28T20:44:51 | dean-admin | server-01-main | 192.168.1.118 | wmic path win32_networkadapterconfiguration get DefaultIPGateway | executed | success |
2024-03-28T20:44:33 | dean-admin | server-02-main | 192.168.1.154 | wmic path win32_networkadapterconfiguration get IPSubnet | executed | success |
2024-03-28T20:43:37 | dean-admin | server-01-main | 192.168.1.192 | wmic startupcommand where (command like "%C:\\Program Files%") get Name,Command | executed | success |
2024-03-28T20:41:56 | dean-admin | server-01-main | 192.168.1.126 | wmic netlogin get Name,Number | executed | success |
2024-03-28T20:40:39 | dean-admin | server-01-main | 192.168.1.147 | wmic service get Name, StartName | executed | success |
2024-03-28T20:35:19 | sophie-engineering | engineering-01-main | 192.168.1.140 | wmic nic get name | executed | success |
2024-03-28T20:31:44 | dean-admin | server-02-main | 192.168.1.115 | wmic OS get OSArchitecture | executed | success |
2024-03-28T20:22:28 | dean-admin | server-02-main | 192.168.1.133 | wmic service where (State != "Running") get Name,State | executed | success |
2024-03-28T20:17:16 | june-exec | server-01-main | 192.168.1.142 | wmic partition get size | executed | success |
2024-03-28T20:14:07 | dean-admin | server-01-main | 192.168.1.172 | wmic logicaldisk get Size, MediaType | executed | success |
2024-03-28T20:12:16 | dean-admin | server-01-main | 192.168.1.158 | wmic netuse get Name, LocalName | executed | success |
2024-03-28T20:10:42 | dean-admin | server-02-main | 192.168.1.172 | wmic share get Name,Path | executed | success |
2024-03-28T19:46:40 | sophie-engineering | engineering-02-main | 192.168.1.155 | wmic baseboard get product | executed | success |
2024-03-28T19:45:02 | sophie-engineering | engineering-02-main | 192.168.1.182 | wmic memorychip get capacity | executed | success |
2024-03-28T19:30:44 | claire-exec | server-01-main | 192.168.1.128 | wmic process list brief | executed | success |
2024-03-28T19:19:53 | dean-admin | server-01-main | 192.168.1.187 | wmic product get Name, Version | executed | success |
2024-03-28T19:02:30 | june-exec | server-01-main | 192.168.1.173 | wmic netprotocolex get caption | executed | success |
2024-03-28T18:57:20 | sophie-engineering | engineering-01-main | 192.168.1.118 | wmic qfe list | executed | success |
2024-03-28T18:26:25 | dean-admin | server-01-main | 192.168.1.183 | wmic bios get manufacturer | executed | success |
2024-03-28T18:15:37 | claire-exec | server-02-main | 192.168.1.108 | wmic diskdrive get status | executed | success |
2024-03-28T17:48:19 | bill-exec | server-01-main | 192.168.1.116 | wmic /output:"C:\Users\bill-exec\results.csv" process get name, processid, commandline | executed | success |
